dataset,method,model,items,source_absent_accuracy,true_record_accuracy,n_source_and_true_correct,false_target_asr,false_target_wilson95,false_accuracy,false_exact_read_rate,false_knowledge_accuracy,eor_n,eor_target,eor_rate
COCO,native,Qwen-3B,200,0.98,0.895,175,0.9714285714285714,"[0.9348693163565446, 0.9877355488018663]",0.017142857142857144,0.15428571428571428,0.8,19,16,0.8421052631578947
COCO,native,Qwen-7B,200,0.995,0.97,193,0.9844559585492227,"[0.9553033351151177, 0.994699784757821]",0.015544041450777202,0.5440414507772021,0.6632124352331606,70,70,1.0
COCO,native,LLaVA,200,0.8,0.905,141,0.9858156028368794,"[0.949760311092732, 0.9961014685072551]",0.014184397163120567,0.2978723404255319,0.5602836879432624,25,23,0.92
COCO,native,InternVL,200,1.0,0.995,199,0.9899497487437185,"[0.9641024146426399, 0.9972395177893006]",0.0,0.27638190954773867,0.5678391959798995,30,30,1.0
COCO,flat,Qwen-3B,200,0.98,0.935,183,1.0,"[0.9794400084170792, 1.0]",0.0,0.25136612021857924,0.7923497267759563,34,34,1.0
COCO,flat,Qwen-7B,200,0.995,0.97,193,0.9689119170984456,"[0.9338460084956854, 0.9856757278519184]",0.031088082901554404,0.5854922279792746,0.6632124352331606,75,73,0.9733333333333334
COCO,flat,LLaVA,200,0.8,0.91,142,0.9859154929577465,"[0.950104008650974, 0.9961289837772294]",0.014084507042253521,0.31690140845070425,0.5563380281690141,27,26,0.9629629629629629
COCO,flat,InternVL,200,1.0,0.965,193,0.9844559585492227,"[0.9553033351151177, 0.994699784757821]",0.0,0.21761658031088082,0.5595854922279793,19,19,1.0
COCO,scenetap,Qwen-3B,200,0.98,0.035,4,1.0,"[0.5101091635454027, 1.0]",0.0,0.0,0.5,0,0,
COCO,scenetap,Qwen-7B,200,0.995,0.005,1,1.0,"[0.20654931437723745, 1.0]",0.0,0.0,1.0,0,0,
COCO,scenetap,LLaVA,200,0.8,0.32,27,1.0,"[0.8754449702581328, 0.9999999999999998]",0.0,0.0,0.5555555555555556,0,0,
COCO,scenetap,InternVL,200,1.0,0.005,1,1.0,"[0.20654931437723745, 1.0]",0.0,0.0,0.0,0,0,
VOC,native,Qwen-3B,200,1.0,0.93,186,0.967741935483871,"[0.9314206476073241, 0.9851336239458857]",0.0,0.0967741935483871,0.8064516129032258,17,16,0.9411764705882353
VOC,native,Qwen-7B,200,1.0,0.975,195,0.9897435897435898,"[0.9633814649495036, 0.9971828013398261]",0.010256410256410256,0.6102564102564103,0.6410256410256411,74,74,1.0
VOC,native,LLaVA,200,0.75,0.94,138,0.9782608695652174,"[0.9380368800052548, 0.9925796061581103]",0.021739130434782608,0.2971014492753623,0.5507246376811594,24,23,0.9583333333333334
VOC,native,InternVL,200,1.0,0.98,196,1.0,"[0.980777468082132, 1.0]",0.0,0.20918367346938777,0.5102040816326531,18,18,1.0
VOC,flat,Qwen-3B,200,1.0,0.97,194,0.979381443298969,"[0.9481933892491099, 0.9919533378763397]",0.005154639175257732,0.23711340206185566,0.7989690721649485,39,37,0.9487179487179487
VOC,flat,Qwen-7B,200,1.0,0.99,198,0.9949494949494949,"[0.971951267794997, 0.9991079048109474]",0.0,0.6717171717171717,0.6414141414141414,85,85,1.0
VOC,flat,LLaVA,200,0.75,0.945,140,0.9785714285714285,"[0.9388952114746261, 0.9926859967432213]",0.02142857142857143,0.36428571428571427,0.5357142857142857,30,27,0.9
VOC,flat,InternVL,200,1.0,0.975,195,1.0,"[0.9806807954262788, 1.0]",0.0,0.22564102564102564,0.5025641025641026,21,21,1.0
VOC,scenetap,Qwen-3B,200,1.0,0.025,5,0.8,"[0.37553462976252533, 0.9637758913675698]",0.2,0.0,0.6,0,0,
VOC,scenetap,Qwen-7B,200,1.0,0.0,0,,,,,,0,0,
VOC,scenetap,LLaVA,200,0.75,0.365,27,0.8518518518518519,"[0.6752131457218702, 0.9408407222375568]",0.07407407407407407,0.0,0.4074074074074074,0,0,
VOC,scenetap,InternVL,200,1.0,0.005,1,0.0,"[0.0, 0.7934506856227626]",0.0,0.0,1.0,0,0,
